	ihuman	BLCA	BRCA	CESC	COAD	GBM	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PRAD	READ	SKCM	STAD	TGCT	THCA	UCEC
MAR04379	0.0	0.0	349.63735659379586	0.0	0.0	0.0	665.855646260423	0.5312888021050345	0.0	0.9129394163331745	0.959942267439778	0.0	0.0	0.0	151.48356890655728	270.1220328209986	0.0	0.0	0.0	0.0	186.5871142646781	0.0
MAR04301	271.160935904541	0.0	0.04314442674234547	0.0	0.0	0.0	0.0	0.0	0.0	0.040552164936455505	0.0	0.0	389.6170089149482	0.0	204.00844591396782	0.0	0.5312888021050348	0.0	0.0	0.0	0.0	0.0
MAR04355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAR04358	1000.0	999.7826545809571	994.3076752761772	1000.0	999.7826545809571	1000.0	1000.0	254.66994399586886	1000.0	1000.0	1000.0	999.1158589141241	1000.0	993.7545864688203	1000.0	1000.0	559.6493263754336	1000.0	1000.0	1000.0	999.333204333167	1000.0
MAR04360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAR04363	999.7826545009343	999.7826545809571	1000.0	912.7219071742426	999.7826545809571	1000.0	1000.0	0.0	999.7826545809571	1000.0	999.6317202621773	999.782654580957	999.6317202621773	999.7826545809571	1000.0	999.7828415147833	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
MAR04365	-999.7826545009341	-999.7826545809571	-1000.0	-912.7219071742425	-999.7826545809571	-1000.0	-1000.0	0.0	-999.782654580957	-1000.0	-999.6317202621772	-999.782654580957	-999.6317202621772	-999.7826545809571	-999.782654580957	-999.7828415147832	-1000.0	-1000.0	-1000.0	-999.782654580957	-999.782654580957	-1000.0
MAR04368	999.9154767503633	999.9154767814832	999.9154767814833	999.9154767814832	999.9154767814832	999.9154767814832	999.9154767814832	999.9154767814832	999.9154767814832	999.9154767814832	999.9154767814832	999.9154767814832	999.9154767814832	999.9154767814832	999.9154767814832	999.9155494779711	999.9154767814832	999.9155204908262	999.9154767814832	999.9154767814832	999.9154767814832	748.7311779887026
MAR04370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAR04371	0.084523249636693	0.08452321851671	0.08452321851665187	0.08452321851671003	0.08452321851671009	0.08452321851671006	0.08452321851671003	0.08452321851671003	0.08452321851671003	0.08452321851670999	0.08452321851671002	0.08452321851671006	0.08452321851671003	0.08452321851671007	0.08452321851671009	0.08445052202878099	0.08452321851671006	0.08447950917377343	0.08452321851671003	0.08452321851671006	0.08452321851671003	0.08452321851671003
