	ihuman	BLCA	BRCA	CESC	COAD	GBM	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PRAD	READ	SKCM	STAD	TGCT	THCA	UCEC
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)	0.0	0.0	4.144321908861742e-05	0.0	0.0	0.008658013372443521	0.0	0.692210581644791	0.044151228843249665	0.0	0.0	0.1573763345535727	0.0015036917200201318	0.0	0.0	0.008293806572914352	0.19242498836931693	1.1209231765435304	1.8352800359838146	0.0	7.58996432812848	15.956152631505612
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)	0.0	1.3054254546542188	1.1051525090286078e-05	0.0	0.00012892171442236826	0.00432900668622176	0.018542285936064707	0.31222632022475894	0.10091709449885639	0.0	0.0	0.0003235670722809453	0.1942052082406424	9.794723491027307	0.0	0.016907793961715024	0.09621249418466202	0.02345947786095019	34.06502233087414	0.053446108220326735	0.7888527398499158	0.01894644253776806
Beta-alanine metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-94.56698117468459	0.0	0.03529755311521171	0.0	0.0	0.0	0.0	0.0	0.0
Bile acid biosynthesis	0.0	452.11914996350754	0.0	0.0	0.0	1000.1398107691538	2004.88202176218	1939.453734992569	1.4623616343090213	1657.1767247301682	695.9552668252597	0.0	0.0	679.1483347410041	856.5869943793175	172.73699555549362	412.21942801709474	0.0	784.9312073590798	-2.842170943040401e-14	3460.4885983894264	1218.2589709166468
Bile acid recycling	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0927644679660369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1000.0
Biopterin metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005169539439491498	0.00247488189374237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Biotin metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005169539439491499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blood group biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Butanoate metabolism	0.0	107.95138754513722	0.0	0.0	-12.15709938740102	-1000.0000000000002	-375.3278481484661	-111.24502274048592	1.4245177238720401	0.0	0.0	-128.92857392171763	1.5853730195116733	-43.86395979117866	32.55939617266333	2.3459564121879604	5.42925736864497	0.0	-962.4236463526969	0.4384613263485335	48.10029581234861	0.865933654002982
C5-branched dibasic acid metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-10.014833877472666	-10.03898336847745	-10.03898336847745	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carnitine shuttle (cytosolic)	0.017234301839055055	-250.74912108001504	7.279783088492581	412.68395144915326	0.07255464051876262	1.830685289796464	1.523273487760953	27.0055622548016	22.4209401043631	0.015527348533834962	23.18968789189541	2.516883460129596	-19.372377731981963	-6.6487880028505995	-11.974192156092808	4.824566498542887	13.72693555723679	563.5423502829291	0.5629403504785317	1.8513099856877024	-27.49862518086468	-1.4861506193691183
Carnitine shuttle (endoplasmic reticular)	1.734723475976807e-18	-4.300658414598971	0.0	0.0	-0.00019338257163355107	-0.0021645033431108435	-1.3877787807814457e-17	25.736895120924743	-0.04415122884324962	0.0	1.734723475976807e-18	-2.5326614102400873e-16	0.1293909612077144	0.07705933757949628	0.0	-0.004226948490428706	8.673617379884035e-19	0.5457994146086711	-0.2131122453600539	1.0408340855860843e-17	-0.07888527398499168	3.3131442100297193
Carnitine shuttle (mitochondrial)	-0.012074749948098998	-12.547633479161911	0.0001201853355688604	-210.49938507070584	-17.95759385843166	8.12049083532149	-0.8174833539696578	-19.281050420897103	-12.77231977251151	-0.0034526030314478207	11.62453373033007	-0.021462932518070785	30.64164433384823	-0.19338726527393932	33.309031332899444	-88.35987476917674	-20.627703593089137	-139.52330196166716	-0.7696395076768451	-3.0398670798409166	-5.595322335936177	-4.23122097032895
Carnitine shuttle (peroxisomal)	0.0	0.0	2.2737367544323206e-13	-70.44079292616209	0.0	-0.5756921426158779	3.469446951953614e-18	3.552713678800501e-15	0.0	0.0	-217.10068426191924	0.0	0.0	-1.4210854715202004e-14	-24.345075494849702	-3.7740590998321464	-2.329103552781091	-0.002932434732618773	0.0	2.220446049250313e-16	46.468311414712	0.0
